Site ID,AER Field Centre,PETRINEX FACILITY SUBTYPE,Well Status,EMISSION TYPE,MAJOR EQUIPMENT,COMPONENT SERVICE TYPE,COMPONENT TYPE,MEASUREMENT DEVICE,Leak TAG,THC Leak Rate (sm3/hr)
Battery Gas 10,Grande Prairie,Gas Multiwell effluent,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,1,0.034182554
Battery Gas 10,Grande Prairie,Gas Multiwell effluent,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,201459,0.189794182
Battery Gas 10,Grande Prairie,Gas Multiwell effluent,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Calibrated bag,201458,0.576968684
Battery Gas 10,Grande Prairie,Gas Multiwell effluent,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,201460,0.621144596
Battery Gas 14,Midnapore,Gas Multiwell Group,,Leak,Separator,Process Gas,Regulator,Highflow,204029,0.143041061
Battery Gas 22,Red Deer,Gas Multiwell Group,,Leak,Separator,Process Gas,Valve,Estimate,201925,0.170065502
Battery Gas 24,Grande Prairie,Gas Multiwell Group,,Leak,Separator,Process Gas,Pump Seal,Highflow,200851,0.032269687
Battery Gas 25,Red Deer,Gas Multiwell Group,,Leak,Separator,Process Gas,Pump Seal,Highflow,201921,0.086353218
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Separator,Process Gas,Connector,Highflow,200827,0.01718425
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Separator,Process Gas,Connector,Highflow,200828,0.01718425
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,200829,0.085921248
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Reciprocating Compressor,Process Gas,Valve,Highflow,200830,0.687369985
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,200831,0.034368499
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Dehydrator - Glycol,Process Gas,Connector,Highflow,200832,0.085921248
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Vent,Production Tank (fixed roof),Light Liquid,Open-Ended Line,Estimate,200833,0.233691109
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,200834,0.051552749
