Province,Service Area,Loc1,Loc2,Uniquelocation,Facility Type,Facility Commodity,Facility Startup,year,Process Block,Component Main type,Component Sub-type,GPE Tag #,GPE Media #,Emission Description,Emission Type,Camera Distance (ft),Status,Created At,Last Inspected At,HSE Issue,Service Type Composition,Service Type,Measurement Method,As Found Emission Rate (cfm),%leak,% background,Flow,12 Month Production,Note
AB,DV,18,,DV-18-,Gas Well,Gas,41671,2014,Filter/Separation,Pump Seal,Diaphragm,101233,6,Bruin 5100 diaphragm seal,Leak,3,Emitting,42606,42606,No,Methane,Fuel,High Flow,0.15,1.29,0,n/a,5491.4,
AB,RD,24,,RD-24-,Gas Single-well Battery,Gas,41487,2013,Tankage,Open-Ended Line,n/a,n/a,4575,600 Bbl production storage tank open thief hatch,Leak,20,Emitting,42597,42597,No,Methane,Liquid,Estimate,30,n/a,n/a,n/a,n/a,
AB,MH,36,102/,MH-36-102/,Gas Well,Gas,22231,1960,Filter/Separation,Regulator,Diaphragm,101221,4600,Fisher 289 Regulation diaphragm leak,Leak,3,Emitting,42600,42600,No,Methane,Process,High Flow,0.26,4.62,0.49,6.6,840,
AB,GP,46,4-8-65-9,GP-46-4-8-65-9,Gas Well,Gas,n/a,n/a,Wellhead,Control Valve,Packing,n/a,MOV_4608,Packing on Dynaflow Control Valve,Leak,5,Emitting,42607,42607,No,Methane,Process,High Flow,0.05,n/a,n/a,n/a,n/a,
AB,GP,46,4-8-65-9,GP-46-4-8-65-9,Gas Well,Gas,n/a,n/a,Wellhead,Connector,Flange,n/a,MOV_4607,Orifice Plate gasket leaking,Leak,5,Emitting,42607,42607,No,Methane,Process,High Flow,0.05,n/a,n/a,n/a,n/a,03-08?
AB,GP,66,,GP-66-,Gas Well,Gas,36760,2000,Filter/Separation,Connector,Threaded,n/a,n/a,"F/g separator, 3/8 inch fitting ferrule, operator fixed on site",Leak,3,Non-Emitting,42607,42607,No,Methane,Fuel,Estimate,0.03,n/a,n/a,n/a,300,
AB,DV,75,100/12-1,DV-75-100/12-1,Gas Well,Gas,39281,2007,Wellhead,Valve,Actuator,101230,4,ESD Valve Actuator seal vent,Leak,3,Emitting,42606,42606,No,Methane,Fuel,High Flow,0.4,5.99,0.04,7.1,892.4,
AB,GP,90,8-6-64-4,GP-90-8-6-64-4,Gas Multiwell Proration Outside Se Alberta Battery,Gas,42309,2015,Filter/Separation,Connector,Union,101168,MOV_4615,Union on fuel gas line to fisher CV,Leak,5,Emitting,42607,42607,No,Methane,Fuel,High Flow,0.04,n/a,n/a,n/a,288431.4,
AB,GP,90,8-6-64-4,GP-90-8-6-64-4,Gas Multiwell Proration Outside Se Alberta Battery,Gas,42309,2015,Compression,Connector,Threaded,101169,MOV_4616,Threaded connection to pressure gauge on fuel gas line to Cat engine,Leak,5,Emitting,42607,42607,No,Methane,Fuel,High Flow,0.03,n/a,n/a,n/a,288431.4,
AB,GP,90,8-6-64-4,GP-90-8-6-64-4,Gas Multiwell Proration Outside Se Alberta Battery,Gas,42309,2015,Wellhead,Valve,Packing,101170,MOV_4618,Stem Packing on CVS Cvon metering line,Leak,5,Emitting,42607,42607,No,Methane,Fuel,High Flow,0.04,n/a,n/a,n/a,288431.4,
