group_id,CH4_m3day_mean_group (m3/day),CH4_m3day_median_group (m3/day),CH4_m3day_mdl_group (m3/day),CH4_m3day_sd_group (m3/day),CH4_m3day_se_group (m3/day),CH4_m3day_min_group (m3/day),CH4_m3day_max_group (m3/day)
12091,820.1700201,666.6083533,1.400765717,285.0037616,22.6022685,50.84758226,1219.112832
4286,290.9030884,290.9030884,2.334721112,306.800729,216.940876,73.96221247,507.8439644
10471,248.7620021,248.7620021,2.64218514,20.95203778,6.625616101,228.8851538,268.6388504
17721,199.2255162,124.9763069,6.998413242,194.4717885,41.46152462,21.97188976,457.6827919
8587,107.8909705,101.3805332,2.927219806,34.24827085,11.41609028,72.00367957,150.2886989
4434,96.45289405,96.45289405,6.834389445,0,0,96.45289405,96.45289405
6884,83.72626065,83.72626065,8.881061945,101.7935129,71.97888326,11.7473774,155.7051439
14612,81.39180315,81.39180315,2.926569626,85.66795314,60.57639059,20.81541256,141.9681937
13961,78.66687335,60.89349143,5.945615153,36.3603449,7.130850314,41.38658633,123.6242709
6324,75.05201905,75.05201905,2.786565517,80.0135545,56.57812697,18.47389208,131.630146
21635,74.19148773,74.19148773,1.638633957,61.77666088,43.68269583,30.5087919,117.8741836
14525,73.7982934,73.7982934,5.769296899,88.89917523,62.86120965,10.93708375,136.659503
894,67.83431589,67.83431589,18.44965333,NA,NA,67.83431589,67.83431589
15074,55.96181369,58.46922621,2.569946368,15.03177114,3.361206209,35.68039067,71.22841166
6533,55.94511896,55.94511896,21.51192527,0,0,55.94511896,55.94511896
994,52.17278031,52.17278031,13.52641366,12.5263084,8.857437613,43.3153427,61.03021792
13512,51.05958589,44.24462199,8.147414591,44.3907254,25.62899726,10.47043499,98.46370068
13477,43.93588357,43.93588357,14.67682723,0,0,43.93588357,43.93588357
6301,43.22341637,33.76024109,4.571819845,27.50587807,3.155140602,7.558636752,71.3960009
14216,42.35537864,42.35537864,6.501076025,NA,NA,42.35537864,42.35537864
2310,38.21095813,31.36327541,6.63512232,20.00100661,6.324873638,15.3787844,60.08425899
8993,37.79324446,37.79324446,1.275290946,21.75047361,15.37990738,22.41333708,53.17315185
9465,35.90811253,35.90811253,15.47021165,NA,NA,35.90811253,35.90811253
4426,35.78453745,21.58619826,7.698243998,26.20068811,8.733562703,12.96226395,88.554657
16186,35.18008484,36.51082627,1.259940829,11.78845612,6.806068313,22.7827261,46.24670215
9099,34.86102899,34.86102899,10.30917671,NA,NA,34.86102899,34.86102899
14121,33.41788505,33.41788505,0.869079895,28.04832051,19.83315763,13.58472742,53.25104269
3363,33.39354038,18.67948832,6.789240492,31.80131028,18.36049505,11.61389125,69.88724157
8040,31.85946625,31.85946625,9.475802403,2.924558562,2.067975191,29.79149106,33.92744144
6536,31.25529902,26.63188855,7.20954126,17.99348589,5.997828632,13.17937477,53.95463375
15830,30.56168157,30.56168157,14.77074767,10.22410807,7.229536148,23.33214543,37.79121772
14897,28.85108425,28.85108425,10.76147643,14.66317331,10.36842928,18.48265497,39.21951354
14787,27.87966124,27.87966124,14.32784937,NA,NA,27.87966124,27.87966124
1652,27.55346914,29.30994568,1.59599739,9.97541543,2.879654392,2.259105952,37.44556581
8015,24.59024239,24.59024239,2.180034216,NA,NA,24.59024239,24.59024239
19590,23.24635029,23.24635029,11.02502304,NA,NA,23.24635029,23.24635029
3473,21.97478021,21.97478021,2.767373218,25.11910922,17.76189247,4.212887741,39.73667268
7468,21.36826315,21.36826315,8.501458307,NA,NA,21.36826315,21.36826315
7776,21.11206324,21.11206324,14.51490991,NA,NA,21.11206324,21.11206324
21073,20.07474655,20.07474655,2.909217962,15.102689,7.551344499,6.995434211,33.15405889
15211,20.00602351,20.00602351,5.975098821,1.093740767,0.773391513,19.23263199,20.77941502
6326,19.89082403,19.89082403,16.08047172,NA,NA,19.89082403,19.89082403
7220,18.95290308,18.95290308,1.901572468,24.02645593,16.98926991,1.963633164,35.94217299
9362,18.89213915,18.89213915,1.127879526,25.03827547,17.70473437,1.187404774,36.59687352
6395,18.41274627,18.41274627,4.374106501,20.49841078,14.49456527,3.918181003,32.90731153
8268,18.08475792,18.08475792,7.524536117,NA,NA,18.08475792,18.08475792
12641,17.54994858,17.54994858,15.133789,NA,NA,17.54994858,17.54994858
6435,17.38280868,17.38280868,11.30958867,NA,NA,17.38280868,17.38280868
6953,17.15038656,17.02908182,8.559005066,6.235231141,1.666435618,9.874353028,27.03242089
17639,17.1369666,20.45652504,5.165437692,5.749643877,3.31955844,10.49784972,20.45652504
5938,15.78759169,16.19756691,0.684767156,14.88523203,8.593992722,0.701607035,30.46360112
6903,15.68869648,15.68869648,8.44619387,NA,NA,15.68869648,15.68869648
21080,14.91407146,14.91407146,5.365748385,NA,NA,14.91407146,14.91407146
7275,14.77690287,14.77690287,2.035277945,NA,NA,14.77690287,14.77690287
7774,14.2398068,14.2398068,10.38555105,NA,NA,14.2398068,14.2398068
10804,14.14757664,14.14757664,3.315181871,13.6766781,9.670871832,4.476704804,23.81844847
4093,13.71517276,13.71517276,1.101934601,11.32854633,8.010491929,5.704680834,21.72566469
7783,13.14323022,13.14323022,4.485227485,NA,NA,13.14323022,13.14323022
21089,12.53541084,11.27340637,2.555647909,7.213092487,2.404364162,4.509439528,27.9566191
12067,11.80115508,11.80115508,5.972567784,7.328363484,5.181935515,6.619219569,16.9830906
4263,11.68484902,11.68484902,13.5091427,NA,NA,11.68484902,11.68484902
6937,11.62522466,11.62522466,5.074525943,NA,NA,11.62522466,11.62522466
6303,11.33162013,11.33162013,0.443962938,9.876189638,4.938094819,2.778589009,19.88465125
14753,11.17241784,11.17241784,6.210263259,2.937969528,2.077458176,9.094959664,13.24987602
7182,10.43141776,10.43141776,10.66616462,NA,NA,10.43141776,10.43141776
7719,10.06297472,10.06297472,5.178101816,NA,NA,10.06297472,10.06297472
8564,9.503269802,9.503269802,3.433351642,NA,NA,9.503269802,9.503269802
6883,9.433157296,9.433157296,2.326828369,9.250616617,6.54117374,2.891983556,15.97433104
7909,9.228882092,9.228882092,1.688275901,8.727417569,6.171216145,3.057665947,15.40009824
13669,8.937074512,8.937074512,1.43625854,9.975539724,7.053771785,1.883302727,15.9908463
7690,8.520611591,8.520611591,1.527011483,6.948669615,4.913451405,3.607160186,13.434063
14361,8.512185338,8.512185338,2.963861538,6.723836222,4.754470188,3.75771515,13.26665553
