Site_ID,Method,CH4_emission_rate_kgh,CH4_LB,CH4_UB,Gas_production_mcfd,Oil_production_bbld,Age_yr,wells_per_site,Reported_emissions_kgh,Gas_composition_c1_percent,both_methods
1,tracer flux,0.05,0,0.1,31.3,0,8.2,1,0,95.39,
2,tracer flux,0.75,0.6,0.9,20.2,0,23,1,0.0021,86.71,
3,tracer flux,0.29,0,0.5,26.5,0,18.3,1,0,86.27,
4,Gaussian dispersion,0.02,0,0.1,42.3,0,9.4,1,0.0036,97.41,
5,tracer flux,0.18,0.1,0.3,5.5,0,23,1,0.0006,86.27,
6,Gaussian dispersion,0.66,0.2,2.2,21.5,0.1,20.7,1,0,79.66,
7,tracer flux,0.22,0.1,0.4,20.1,0,12.4,1,0.0021,87.6,
8,tracer flux,0.13,-0.7,1,50.4,0,20.2,1,0.0052,87.6,
9,tracer flux,0.23,0.1,0.4,19.2,0,21.6,1,0.002,89.56,
10,Gaussian dispersion,0.12,0,0.4,1.2,8.4,4.8,1,0,80.84,
11,Gaussian dispersion,0.63,0.2,2.1,114.4,0,16.8,1,0,87.85,
12,Gaussian dispersion,0.14,0,0.5,47.1,0,6,1,0,96.38,
13,Gaussian dispersion,79.99,26.7,267.2,4.2,0,9.4,1,0,95.88,
14,Gaussian dispersion,0.55,0.2,1.8,359.9,1.4,45.5,1,0,78.75,
15,Gaussian dispersion,3.77,1.3,12.6,145.5,0.7,41.7,1,0.1525,79.59,
16,Gaussian dispersion,0.54,0.2,1.8,54.9,0,15.2,2,0,83.34,
17,Gaussian dispersion,3.32,1.1,11.1,136.4,0.5,30.5,1,0,81.69,
18,Gaussian dispersion,37.79,12.6,126.2,0,0,12.3,1,0,82.89,
19,Gaussian dispersion,5.6,1.9,18.7,53.2,0,29.2,1,0,80.64,
20,tracer flux,0.21,0,0,0,0,51.4,1,0,NA,
21,tracer flux,0.06,0,0.1,0.4,2.3,54.3,0,0,79.86,
22,Gaussian dispersion,1.83,0.2,3.5,217.9,0,14.9,1,0,80.47,
23,tracer flux,1.75,1.6,1.9,217.9,0,14.9,1,0,80.47,
24,tracer flux,0.29,0.2,0.3,0,0,28.2,1,0,70.25,
25,tracer flux,0.25,-0.1,0.6,0.5,1.9,49.6,1,0,81.85,
26,tracer flux,1.17,0.9,1.4,165.6,3.8,19.4,1,1.0635,79.32,
27,tracer flux,9.6,2.4,16.8,215.3,1.3,39.7,1,0,78.28,
28,Gaussian dispersion,0.79,0.2,1.4,29.7,0.8,22.4,1,0,82.54,
29,tracer flux,0.61,0.5,0.8,29.7,0.8,22.4,1,0,82.54,
30,Gaussian dispersion,13.66,4.6,45.6,171.6,1.1,33.6,2,0.0147,83.21,a
31,tracer flux,3.46,0,0,171.6,1.1,33.6,2,0.0147,83.21,a
32,Gaussian dispersion,17.27,5.8,57.7,134.8,0.6,10.1,1,0.0118,81.38,
33,tracer flux,10.35,7.4,13.3,161.6,0,25.9,1,0.0141,80.97,
34,Gaussian dispersion,14.42,4.8,48.2,403.6,1.2,21.6,1,0,81.24,
35,Gaussian dispersion,3.86,1.3,12.9,308.5,6.1,33.3,2,0,79.47,
36,Gaussian dispersion,5.08,1.7,17,83.5,0.4,11,1,0.0071,78.98,
37,Gaussian dispersion,3.13,1,10.5,130.1,0,27.5,1,0.0115,81.87,
38,Gaussian dispersion,2.5,0.8,8.3,205.8,0,22.8,1,0.018,81.06,
39,Gaussian dispersion,22.03,7.4,73.6,0,0,11.8,1,0,79.05,
40,tracer flux,0.58,0.4,0.8,49.9,0,12,1,0,82.35,
41,Gaussian dispersion,13.69,4.6,45.7,5.3,6.5,20.4,1,1.0111,81.21,
42,tracer flux,2.53,1.3,3.7,59.9,0.2,19.4,1,0,79.64,
43,Gaussian dispersion,0.97,0.3,3.2,95.9,1.6,16.4,1,0.2008,78.73,
44,tracer flux,3.06,1.2,4.9,31.9,0,4.1,1,0,78.64,b
45,Gaussian dispersion,0.87,0.3,2.9,31.9,0,4.1,1,0,78.64,b
46,tracer flux,3.23,1.8,4.7,121.4,0,16.8,1,2.3353,76.2,
47,Gaussian dispersion,3.73,1.2,12.5,227,0,17.4,1,8.1392,75.88,c
48,tracer flux,1.48,0.5,2.5,227,0,17.4,1,8.1392,75.88,c
49,Gaussian dispersion,0.84,0.3,2.8,522.7,0,9,1,0,95.92,
50,Gaussian dispersion,1.34,0.9,1.8,10.6,6.9,6,1,0.0631,82.7,
51,Gaussian dispersion,0.29,0.1,1,92.5,0,12.5,1,0,81.16,
52,tracer flux,0.41,0.1,0.8,0,0,4.8,2,0,0,
53,Gaussian dispersion,4.16,1.4,13.9,19.4,2.7,51.3,1,0.0385,81.23,
54,Gaussian dispersion,21.3,7.1,71.2,512.2,437.7,0.2,1,0,80.23,
55,Gaussian dispersion,0.83,0.3,2.8,655,0,4.9,3,0,83.69,
56,Gaussian dispersion,0.21,0.1,0.7,0,0,5.7,1,0,81.64,
57,Gaussian dispersion,8.6,2.9,28.8,460,285.4,2.5,2,0,80.23,
58,tracer flux,1.57,-0.4,3.6,91.4,0,9.9,1,0,78.28,
59,tracer flux,6.33,2.9,9.7,80.4,8.4,4.9,2,0.394,82.34,d
60,Gaussian dispersion,5.48,1.8,18.3,80.4,8.4,4.9,2,0.394,82.34,d
